country,lat,long,date,cases,type
Nicaragua,12.865416,-85.207229,2020-01-22,0,confirmed
Niger,17.607789,8.081666,2020-01-22,0,confirmed
Nigeria,9.082,8.6753,2020-01-22,0,confirmed
North Macedonia,41.6086,21.7453,2020-01-22,0,confirmed
Norway,60.472,8.4689,2020-01-22,0,confirmed
Oman,21.512583,55.92325500000001,2020-01-22,0,confirmed
Pakistan,30.3753,69.3451,2020-01-22,0,confirmed
Panama,8.538,-80.7821,2020-01-22,0,confirmed
Papua New Guinea,-6.314993,143.95555,2020-01-22,0,confirmed
Paraguay,-23.4425,-58.4438,2020-01-22,0,confirmed
Peru,-9.19,-75.0152,2020-01-22,0,confirmed
Philippines,12.879721,121.774017,2020-01-22,0,confirmed
Poland,51.9194,19.1451,2020-01-22,0,confirmed
Portugal,39.3999,-8.2245,2020-01-22,0,confirmed
Qatar,25.3548,51.1839,2020-01-22,0,confirmed
Romania,45.9432,24.9668,2020-01-22,0,confirmed
Russia,61.52401,105.318756,2020-01-22,0,confirmed
Rwanda,-1.9403,29.8739,2020-01-22,0,confirmed
Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0,confirmed
Saint Lucia,13.9094,-60.9789,2020-01-22,0,confirmed
Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0,confirmed
San Marino,43.9424,12.4578,2020-01-22,0,confirmed
Sao Tome and Principe,0.1864,6.6131,2020-01-22,0,confirmed
Saudi Arabia,23.885942,45.079162,2020-01-22,0,confirmed
Senegal,14.4974,-14.4524,2020-01-22,0,confirmed
Serbia,44.0165,21.0059,2020-01-22,0,confirmed
Seychelles,-4.6796,55.492,2020-01-22,0,confirmed
Sierra Leone,8.460555000000001,-11.779889,2020-01-22,0,confirmed
Singapore,1.2833,103.8333,2020-01-22,0,confirmed
Slovakia,48.669,19.699,2020-01-22,0,confirmed
Slovenia,46.1512,14.9955,2020-01-22,0,confirmed
Somalia,5.152149,46.199616,2020-01-22,0,confirmed
South Africa,-30.5595,22.9375,2020-01-22,0,confirmed
South Sudan,6.8770000000000024,31.307,2020-01-22,0,confirmed
Spain,40.463667,-3.74922,2020-01-22,0,confirmed
Sri Lanka,7.873054,80.77179699999998,2020-01-22,0,confirmed
Sudan,12.8628,30.2176,2020-01-22,0,confirmed
Suriname,3.9193,-56.0278,2020-01-22,0,confirmed
Sweden,60.128161,18.643501,2020-01-22,0,confirmed
Switzerland,46.8182,8.2275,2020-01-22,0,confirmed
Syria,34.802075,38.99681500000001,2020-01-22,0,confirmed
Taiwan*,23.7,121,2020-01-22,1,confirmed
Tajikistan,38.861,71.2761,2020-01-22,0,confirmed
Tanzania,-6.369028,34.888822,2020-01-22,0,confirmed
Thailand,15.870032,100.992541,2020-01-22,2,confirmed
Timor-Leste,-8.874217,125.727539,2020-01-22,0,confirmed
Togo,8.6195,0.8248,2020-01-22,0,confirmed
Trinidad and Tobago,10.6918,-61.2225,2020-01-22,0,confirmed
Tunisia,33.886917,9.537499,2020-01-22,0,confirmed
Turkey,38.9637,35.2433,2020-01-22,0,confirmed
US,40,-100,2020-01-22,1,confirmed
Uganda,1.373333,32.290275,2020-01-22,0,confirmed
Ukraine,48.3794,31.1656,2020-01-22,0,confirmed
United Arab Emirates,23.424076,53.847818,2020-01-22,0,confirmed
United Kingdom,18.2206,-63.068600000000004,2020-01-22,0,confirmed
United Kingdom,32.3078,-64.7505,2020-01-22,0,confirmed
United Kingdom,18.4207,-64.64,2020-01-22,0,confirmed
United Kingdom,19.3133,-81.2546,2020-01-22,0,confirmed
United Kingdom,49.3723,-2.3644,2020-01-22,0,confirmed
United Kingdom,-51.7963,-59.5236,2020-01-22,0,confirmed
United Kingdom,36.1408,-5.3536,2020-01-22,0,confirmed
United Kingdom,54.2361,-4.5481,2020-01-22,0,confirmed
United Kingdom,16.742498,-62.187366,2020-01-22,0,confirmed
United Kingdom,21.69400000000001,-71.7979,2020-01-22,0,confirmed
United Kingdom,55.3781,-3.4360000000000004,2020-01-22,0,confirmed
Uruguay,-32.5228,-55.7658,2020-01-22,0,confirmed
Uzbekistan,41.377491,64.585262,2020-01-22,0,confirmed
Venezuela,6.4238,-66.5897,2020-01-22,0,confirmed
Vietnam,14.058324,108.277199,2020-01-22,0,confirmed
West Bank and Gaza,31.9522,35.2332,2020-01-22,0,confirmed
Western Sahara,24.2155,-12.8858,2020-01-22,0,confirmed
Yemen,15.552727,48.516388,2020-01-22,0,confirmed
Zambia,-13.133897,27.849332,2020-01-22,0,confirmed
Zimbabwe,-19.015438,29.154857,2020-01-22,0,confirmed
Afghanistan,33.93911,67.709953,2020-01-23,0,confirmed
Albania,41.1533,20.1683,2020-01-23,0,confirmed
Algeria,28.0339,1.6596,2020-01-23,0,confirmed
Andorra,42.5063,1.5218,2020-01-23,0,confirmed
Angola,-11.2027,17.8739,2020-01-23,0,confirmed
Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0,confirmed
Argentina,-38.4161,-63.6167,2020-01-23,0,confirmed
Armenia,40.0691,45.0382,2020-01-23,0,confirmed
Australia,-35.4735,149.0124,2020-01-23,0,confirmed
Australia,-33.8688,151.2093,2020-01-23,0,confirmed
Australia,-12.4634,130.8456,2020-01-23,0,confirmed
Australia,-27.4698,153.0251,2020-01-23,0,confirmed
Australia,-34.9285,138.6007,2020-01-23,0,confirmed
Australia,-42.8821,147.3272,2020-01-23,0,confirmed
Australia,-37.8136,144.9631,2020-01-23,0,confirmed
Australia,-31.9505,115.8605,2020-01-23,0,confirmed
Austria,47.5162,14.5501,2020-01-23,0,confirmed
Azerbaijan,40.1431,47.5769,2020-01-23,0,confirmed
Bahamas,25.025885,-78.035889,2020-01-23,0,confirmed
Bahrain,26.0275,50.55,2020-01-23,0,confirmed
Bangladesh,23.685,90.3563,2020-01-23,0,confirmed
