country,lat,long,date,cases,type
Gabon,-0.8037,11.6094,2020-01-22,0,recovered
Gambia,13.4432,-15.3101,2020-01-22,0,recovered
Georgia,42.3154,43.3569,2020-01-22,0,recovered
Germany,51.165690999999995,10.451526,2020-01-22,0,recovered
Ghana,7.9465,-1.0232,2020-01-22,0,recovered
Greece,39.0742,21.8243,2020-01-22,0,recovered
Grenada,12.1165,-61.678999999999995,2020-01-22,0,recovered
Guatemala,15.7835,-90.2308,2020-01-22,0,recovered
Guinea,9.9456,-9.6966,2020-01-22,0,recovered
Guinea-Bissau,11.8037,-15.1804,2020-01-22,0,recovered
Guyana,4.860416000000002,-58.93018000000001,2020-01-22,0,recovered
Haiti,18.9712,-72.2852,2020-01-22,0,recovered
Holy See,41.9029,12.4534,2020-01-22,0,recovered
Honduras,15.2,-86.2419,2020-01-22,0,recovered
Hungary,47.1625,19.5033,2020-01-22,0,recovered
Iceland,64.9631,-19.0208,2020-01-22,0,recovered
India,20.593684,78.96288,2020-01-22,0,recovered
Indonesia,-0.7893,113.9213,2020-01-22,0,recovered
Iran,32.427908,53.68804599999999,2020-01-22,0,recovered
Iraq,33.223191,43.679291,2020-01-22,0,recovered
Ireland,53.1424,-7.6921,2020-01-22,0,recovered
Israel,31.046051000000002,34.851612,2020-01-22,0,recovered
Italy,41.87194,12.56738,2020-01-22,0,recovered
Jamaica,18.1096,-77.2975,2020-01-22,0,recovered
Japan,36.204824,138.252924,2020-01-22,0,recovered
Jordan,31.24,36.51,2020-01-22,0,recovered
Kazakhstan,48.0196,66.9237,2020-01-22,0,recovered
Kenya,-0.0236,37.9062,2020-01-22,0,recovered
"Korea, South",35.90775700000001,127.766922,2020-01-22,0,recovered
Kosovo,42.602636,20.902977,2020-01-22,0,recovered
Kuwait,29.311659999999996,47.481766,2020-01-22,0,recovered
Kyrgyzstan,41.20438,74.766098,2020-01-22,0,recovered
Laos,19.856270000000002,102.495496,2020-01-22,0,recovered
Latvia,56.8796,24.6032,2020-01-22,0,recovered
Lebanon,33.8547,35.8623,2020-01-22,0,recovered
Lesotho,-29.61,28.2336,2020-01-22,0,recovered
Liberia,6.4280550000000005,-9.429499,2020-01-22,0,recovered
Libya,26.3351,17.228331,2020-01-22,0,recovered
Liechtenstein,47.14,9.55,2020-01-22,0,recovered
Lithuania,55.1694,23.8813,2020-01-22,0,recovered
Luxembourg,49.8153,6.1296,2020-01-22,0,recovered
MS Zaandam,0,0,2020-01-22,0,recovered
Madagascar,-18.766947000000002,46.869107,2020-01-22,0,recovered
Malawi,-13.2543,34.3015,2020-01-22,0,recovered
Malaysia,4.210483999999999,101.97576600000001,2020-01-22,0,recovered
Maldives,3.2028,73.2207,2020-01-22,0,recovered
Mali,17.570692,-3.996166000000001,2020-01-22,0,recovered
Malta,35.9375,14.3754,2020-01-22,0,recovered
Mauritania,21.0079,-10.9408,2020-01-22,0,recovered
Mauritius,-20.348404000000002,57.552152,2020-01-22,0,recovered
Mexico,23.6345,-102.5528,2020-01-22,0,recovered
Moldova,47.4116,28.3699,2020-01-22,0,recovered
Monaco,43.7333,7.4167,2020-01-22,0,recovered
Mongolia,46.8625,103.8467,2020-01-22,0,recovered
Montenegro,42.708678000000006,19.374389999999998,2020-01-22,0,recovered
Morocco,31.7917,-7.0926,2020-01-22,0,recovered
Mozambique,-18.6657,35.5296,2020-01-22,0,recovered
Namibia,-22.9576,18.4904,2020-01-22,0,recovered
Nepal,28.1667,84.25,2020-01-22,0,recovered
Netherlands,12.5211,-69.9683,2020-01-22,0,recovered
Netherlands,12.1784,-68.2385,2020-01-22,0,recovered
Netherlands,12.1696,-68.99,2020-01-22,0,recovered
Netherlands,18.0425,-63.0548,2020-01-22,0,recovered
Netherlands,52.1326,5.2913,2020-01-22,0,recovered
New Zealand,-40.9006,174.886,2020-01-22,0,recovered
Nicaragua,12.865416,-85.207229,2020-01-22,0,recovered
Niger,17.607789,8.081666,2020-01-22,0,recovered
Nigeria,9.082,8.6753,2020-01-22,0,recovered
North Macedonia,41.6086,21.7453,2020-01-22,0,recovered
Norway,60.472,8.4689,2020-01-22,0,recovered
Oman,21.512583,55.92325500000001,2020-01-22,0,recovered
Pakistan,30.3753,69.3451,2020-01-22,0,recovered
Panama,8.538,-80.7821,2020-01-22,0,recovered
Papua New Guinea,-6.314993,143.95555,2020-01-22,0,recovered
Paraguay,-23.4425,-58.4438,2020-01-22,0,recovered
Peru,-9.19,-75.0152,2020-01-22,0,recovered
Philippines,12.879721,121.77401699999999,2020-01-22,0,recovered
Poland,51.9194,19.1451,2020-01-22,0,recovered
Portugal,39.3999,-8.2245,2020-01-22,0,recovered
Qatar,25.3548,51.1839,2020-01-22,0,recovered
Romania,45.9432,24.9668,2020-01-22,0,recovered
Russia,61.52401,105.31875600000001,2020-01-22,0,recovered
Rwanda,-1.9403,29.8739,2020-01-22,0,recovered
Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0,recovered
Saint Lucia,13.9094,-60.9789,2020-01-22,0,recovered
Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0,recovered
San Marino,43.9424,12.4578,2020-01-22,0,recovered
Sao Tome and Principe,0.1864,6.6131,2020-01-22,0,recovered
Saudi Arabia,23.885942,45.079162,2020-01-22,0,recovered
Senegal,14.4974,-14.4524,2020-01-22,0,recovered
Serbia,44.0165,21.0059,2020-01-22,0,recovered
Seychelles,-4.6796,55.492,2020-01-22,0,recovered
Sierra Leone,8.460555000000001,-11.779889,2020-01-22,0,recovered
